city,name,type,price_eur,rating,description,source,price_range
Berlin,Curry 36,restaurant,8,4.6,Famous currywurst stand - iconic Berlin street food,manual_restaurants,budget
Berlin,Tim Raue,restaurant,120,4.8,Michelin-starred restaurant with creative Asian cuisine,manual_restaurants,upscale
Berlin,Zur Letzten Instanz,restaurant,25,4.5,Historic restaurant (1525) serving traditional Berlin cuisine,manual_restaurants,budget
Berlin,Markthalle Neun,restaurant,15,4.4,Street food market with international cuisines,manual_restaurants,budget
Berlin,Prater Garten,restaurant,18,4.3,Berlin's oldest beer garden with traditional Bavarian fare,manual_restaurants,budget
Paris,L'As du Fallafel,restaurant,12,4.7,Famous fallafel spot on Rue des Rosiers - Paris institution,manual_restaurants,budget
Paris,L'Astrance,restaurant,150,4.9,3 Michelin stars - innovative French haute cuisine,manual_restaurants,upscale
Paris,Café de Flore,restaurant,35,4.4,Historic literary café - perfect for people watching,manual_restaurants,budget
Paris,L'Ami Jean,restaurant,28,4.6,Cozy bistro with traditional French dishes,manual_restaurants,budget
Paris,Du Pain et des Idées,restaurant,6,4.8,Best croissants and pastries in Paris,manual_restaurants,budget
Barcelona,Can Culleretes,restaurant,32,4.5,Oldest restaurant in Barcelona (1786) - traditional Catalan,manual_restaurants,budget
Barcelona,Tickets Bar,restaurant,80,4.8,Molecular gastronomy tapas - highly innovative,manual_restaurants,moderate
Barcelona,La Boqueria Market,restaurant,18,4.5,Famous food market with fresh seafood and local specialties,manual_restaurants,budget
Barcelona,Cervecería Catalana,restaurant,25,4.6,Popular tapas bar with excellent wine selection,manual_restaurants,budget
Barcelona,Pujol,restaurant,95,4.7,Contemporary Catalan cuisine with cultural twist,manual_restaurants,moderate
Amsterdam,De Kas,restaurant,110,4.8,Michelin-starred restaurant in a historic glasshouse,manual_restaurants,upscale
Amsterdam,Stroopwafels,restaurant,3,4.7,Sweet waffle sandwich - iconic Dutch treat,manual_restaurants,budget
Amsterdam,Pancakes Amsterdam,restaurant,12,4.5,Traditional Dutch pancakes (savory and sweet),manual_restaurants,budget
Amsterdam,Café de jaren,restaurant,20,4.4,Waterfront café with traditional Dutch food,manual_restaurants,budget
Amsterdam,Café de Reiger,restaurant,28,4.6,Cozy neighborhood spot with Mediterranean influences,manual_restaurants,budget
Rome,Flavio al Velavevodetto,restaurant,45,4.6,Traditional Roman cuisine in historic Monti district,manual_restaurants,budget
Rome,Il Sorpasso,restaurant,32,4.5,Modern Italian with vintage Roman atmosphere,manual_restaurants,budget
Rome,Cacio e Pepe,restaurant,15,4.7,Famous Roman pasta dish (cheese and pepper) - iconic,manual_restaurants,budget
Rome,Sora Lella,restaurant,50,4.6,Historic Roman trattoria with traditional dishes,manual_restaurants,moderate
Rome,Gelato di San Crispino,restaurant,5,4.8,Award-winning gelato near Trevi Fountain,manual_restaurants,budget
London,Borough Market,restaurant,18,4.6,Historic food market with international cuisines,manual_restaurants,budget
London,The Ledbury,restaurant,140,4.8,Michelin-starred French cuisine in Notting Hill,manual_restaurants,upscale
London,Fish & Chips @ Poppies,restaurant,16,4.5,Classic British fish and chips - must try,manual_restaurants,budget
